age,gender,country,work_remotely,company_size,family_history,benefits,care_options,wellness_program,anonymity,leave,coworkers,supervisor,mental_health_consequence,physical_health_consequence,mental_vs_physical,treatment
43,Male,United Kingdom,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
37,Female,United States of America,Always,25-Jun,No,Yes,Yes,No,Yes,Very easy,Yes,Maybe,No,No,I don't know,1
37,Male,Australia,Never,26-100,i don't know,No,Unknown,No,i don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,1
27,Male,United States of America,Sometimes,25-Jun,Yes,Yes,Yes,No,Yes,Very easy,Yes,Yes,Maybe,Maybe,I don't know,0
31,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
36,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,Yes,Maybe,Maybe,Yes,1
34,Male,United States of America,Always,500-1000,No,Yes,Yes,No,i don't know,I don't know,Maybe,Maybe,Maybe,No,I don't know,1
31,Female,United States of America,Sometimes,More than 1000,No,Yes,No,Yes,i don't know,Somewhat difficult,Yes,Yes,Maybe,Maybe,I don't know,0
30,Male,United States of America,Never,26-100,Yes,Yes,Yes,No,i don't know,Somewhat easy,Yes,Yes,No,No,Yes,1
32,Male,Canada,Never,100-500,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,Yes,Maybe,No,No,0
40,Female,United States of America,Sometimes,25-Jun,i don't know,Yes,i am not sure,No,i don't know,Somewhat difficult,No,Maybe,No,No,I don't know,0
40,Male,United States of America,Sometimes,100-500,i don't know,i don't know,No,No,i don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,0
41,Male,France,Sometimes,More than 1000,i don't know,Yes,i am not sure,Yes,i don't know,Neither easy nor difficult,Maybe,Yes,No,No,No,0
27,Male,United Kingdom,Never,26-100,No,not eligible for coverage / n/a,Unknown,No,i don't know,Very difficult,No,Maybe,Yes,No,No,1
30,Male,United States of America,Sometimes,26-100,No,Yes,Yes,No,i don't know,Somewhat easy,Yes,Yes,No,No,I don't know,0
29,Male,Venezuela,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
38,Male,United Kingdom,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
35,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
35,Female,United States of America,Never,25-Jun,Yes,No,Yes,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,No,1
29,Male,United States of America,Always,More than 1000,Yes,Yes,i am not sure,Yes,i don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,1
28,Male,United States of America,Never,100-500,Yes,Yes,i am not sure,No,Yes,I don't know,No,Maybe,Maybe,Maybe,I don't know,0
27,Male,Netherlands,Sometimes,26-100,i don't know,No,Yes,No,Yes,Very easy,No,Yes,No,No,Yes,1
39,Male,Poland,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
28,Male,Belgium,Sometimes,100-500,No,Yes,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,0
46,Male,United States of America,Sometimes,25-Jun,Yes,i don't know,No,No,i don't know,Very difficult,No,No,Yes,Maybe,No,0
40,Male,Netherlands,Sometimes,5-Jan,No,No,No,No,i don't know,Very easy,Yes,Yes,No,No,I don't know,1
37,Male,United States of America,Always,26-100,Yes,Yes,Yes,No,Yes,Very easy,Maybe,Yes,No,No,Yes,0
41,Male,Netherlands,Sometimes,26-100,Yes,No,Unknown,No,i don't know,Very easy,Maybe,Yes,No,No,I don't know,0
19,Male,France,Never,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
38,Female,Netherlands,Never,25-Jun,No,i don't know,i am not sure,No,No,Somewhat easy,Yes,Maybe,No,No,Yes,0
33,Male,United States of America,Sometimes,26-100,No,i don't know,i am not sure,No,i don't know,Somewhat difficult,No,No,Maybe,No,No,0
33,Male,United States of America,Always,26-100,Yes,Yes,Yes,No,Yes,Very easy,Maybe,Yes,No,No,Yes,1
21,Male,United Kingdom,Never,5-Jan,No,Yes,Yes,No,Yes,I don't know,Maybe,Yes,No,No,I don't know,0
36,Male,Brazil,Never,5-Jan,Yes,No,No,No,i don't know,Very difficult,No,No,Maybe,Maybe,I don't know,0
39,Male,Canada,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
35,Male,United States of America,Sometimes,26-100,No,i don't know,i am not sure,No,Yes,Somewhat easy,Maybe,Yes,No,No,Yes,0
36,Male,France,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
45,Male,United States of America,Never,25-Jun,No,Yes,No,No,i don't know,Neither easy nor difficult,No,Maybe,Maybe,No,No,0
41,Male,Canada,Never,26-100,No,i don't know,No,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,No,0
35,Male,United Kingdom,Sometimes,26-100,i don't know,i don't know,i am not sure,No,i don't know,Somewhat difficult,No,No,Maybe,No,No,1
30,Male,United States of America,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
24,Female,United States of America,Sometimes,26-100,Yes,i don't know,i am not sure,Yes,Yes,Very easy,Maybe,Maybe,No,No,Yes,1
33,Male,Brazil,Never,100-500,i don't know,No,Unknown,No,i don't know,I don't know,No,No,Maybe,No,I don't know,1
35,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,i don't know,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,1
26,Male,United Kingdom,Sometimes,25-Jun,No,No,Unknown,Yes,i don't know,Neither easy nor difficult,Maybe,Yes,No,No,Yes,0
33,Male,Brazil,Always,25-Jun,No,No,Unknown,No,i don't know,Somewhat difficult,No,Yes,Yes,No,No,0
29,Female,United States of America,Sometimes,25-Jun,No,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Yes,No,No,I don't know,1
26,Male,United States of America,Sometimes,100-500,Yes,Yes,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,1
36,Female,United States of America,Always,26-100,No,i don't know,i am not sure,No,i don't know,Very easy,Maybe,Maybe,No,No,I don't know,0
46,Male,United States of America,Sometimes,26-100,i don't know,i don't know,i am not sure,Yes,Yes,I don't know,No,No,No,No,Yes,0
39,Male,Netherlands,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
28,Female,United States of America,Sometimes,100-500,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,Yes,Maybe,No,No,1
40,Male,United States of America,Sometimes,500-1000,No,Yes,No,i don't know,i don't know,Neither easy nor difficult,No,No,Maybe,No,I don't know,0
23,Male,United States of America,Sometimes,100-500,i don't know,i don't know,No,No,i don't know,I don't know,Maybe,Yes,Yes,No,No,1
30,Male,United States of America,Sometimes,25-Jun,Yes,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Yes,Yes,No,No,I don't know,0
28,Other,United States of America,Sometimes,26-100,Yes,i don't know,i am not sure,i don't know,i don't know,Very easy,No,No,Maybe,Maybe,I don't know,0
27,Male,Netherlands,Never,26-100,i don't know,No,i am not sure,No,i don't know,Somewhat difficult,Maybe,Maybe,Yes,No,No,0
31,Male,United States of America,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
39,Female,United States of America,Never,26-100,Yes,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,No,Maybe,No,No,1
34,Female,United States of America,Always,More than 1000,Yes,Yes,Yes,No,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,No,1
30,Male,United States of America,Sometimes,25-Jun,No,Yes,Yes,No,Yes,Very easy,No,Yes,No,No,Yes,1
30,Male,Denmark,Never,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
31,Male,United States of America,Sometimes,100-500,No,i don't know,No,No,i don't know,Somewhat easy,Yes,Yes,No,No,I don't know,0
30,Male,United States of America,Always,26-100,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Yes,No,No,Yes,1
32,Male,United States of America,Sometimes,More than 1000,Yes,Yes,i am not sure,No,i don't know,Somewhat difficult,No,No,Yes,No,I don't know,0
22,Male,Czech Republic,Sometimes,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
37,Female,Belgium,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
51,Male,United States of America,Sometimes,26-100,No,Yes,Yes,No,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,0
26,Male,United States of America,Sometimes,26-100,Yes,i don't know,No,No,i don't know,I don't know,Maybe,Yes,No,No,I don't know,1
41,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
39,Female,United States of America,Sometimes,100-500,Yes,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,1
43,Male,United States of America,Sometimes,25-Jun,Yes,Yes,No,No,No,Neither easy nor difficult,No,No,Maybe,No,I don't know,1
30,Male,United Kingdom,Sometimes,500-1000,Yes,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Yes,Yes,No,No,I don't know,0
24,Female,United States of America,Sometimes,26-100,i don't know,Yes,Yes,Yes,i don't know,Very easy,Maybe,Yes,No,No,Yes,0
30,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
28,Female,Germany,Sometimes,26-100,Yes,No,Yes,No,i don't know,Somewhat difficult,No,Maybe,Yes,Maybe,I don't know,1
48,Female,United States of America,Sometimes,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
55,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
36,Female,United States of America,Sometimes,5-Jan,i don't know,i don't know,No,Yes,i don't know,Very difficult,Yes,No,Yes,Maybe,I don't know,1
38,Male,Netherlands,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
34,Male,France,Sometimes,100-500,No,i don't know,No,i don't know,i don't know,Very easy,Yes,Yes,Maybe,Maybe,I don't know,0
44,Female,United States of America,Sometimes,26-100,No,Yes,No,No,No,Somewhat easy,No,Maybe,Maybe,No,Yes,0
45,Male,United States of America,Sometimes,More than 1000,i don't know,i don't know,i am not sure,No,i don't know,Very difficult,No,Maybe,Maybe,Maybe,I don't know,1
45,Male,United States of America,Sometimes,25-Jun,i don't know,Yes,No,No,i don't know,Somewhat difficult,Maybe,No,Yes,Maybe,No,1
30,Male,United States of America,Sometimes,500-1000,Yes,No,i am not sure,No,i don't know,Somewhat difficult,Maybe,Yes,Yes,No,No,1
34,Male,United States of America,Sometimes,More than 1000,i don't know,Yes,No,No,Yes,I don't know,Maybe,Yes,Maybe,No,I don't know,1
37,Male,United States of America,Sometimes,More than 1000,Yes,i don't know,No,Yes,i don't know,Neither easy nor difficult,Maybe,Yes,No,No,Yes,0
38,Male,United States of America,Sometimes,More than 1000,No,Yes,i am not sure,No,Yes,I don't know,No,Maybe,Maybe,No,I don't know,0
31,Male,United States of America,Sometimes,26-100,No,Yes,No,No,i don't know,I don't know,No,Maybe,No,No,Yes,1
33,Male,United States of America,Always,26-100,No,i don't know,i am not sure,No,i don't know,Somewhat easy,Yes,Yes,No,No,I don't know,0
29,Female,United States of America,Sometimes,100-500,i don't know,Yes,Yes,No,i don't know,Somewhat difficult,No,No,Yes,No,No,1
35,Male,United States of America,Sometimes,100-500,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,I don't know,1
42,Other,Canada,Always,5-Jan,Yes,No,Yes,No,No,Very difficult,No,No,Maybe,Maybe,I don't know,1
26,Female,United States of America,Sometimes,26-100,i don't know,i don't know,No,No,i don't know,I don't know,No,Maybe,Yes,Maybe,I don't know,0
36,Female,United States of America,Always,500-1000,Yes,Yes,No,No,i don't know,I don't know,Maybe,Yes,Maybe,No,Yes,1
21,Male,United Kingdom,Never,26-100,Yes,i don't know,i am not sure,i don't know,i don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,1
34,Female,United States of America,Sometimes,26-100,i don't know,Yes,i am not sure,No,No,Somewhat easy,No,Yes,Maybe,No,Yes,1
40,Male,Germany,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
35,Male,United States of America,Sometimes,26-100,No,Yes,No,No,i don't know,Very difficult,Maybe,Maybe,Yes,Maybe,No,1
44,Male,United States of America,Sometimes,25-Jun,No,Yes,Yes,No,No,Somewhat easy,Yes,Yes,No,No,Yes,1
35,Other,Canada,Sometimes,25-Jun,Yes,i don't know,No,No,i don't know,Somewhat difficult,Yes,Yes,No,No,Yes,0
45,Male,United States of America,Sometimes,More than 1000,No,No,Unknown,No,i don't know,Very difficult,No,No,Yes,Maybe,No,0
42,Male,United States of America,Sometimes,More than 1000,No,Yes,Yes,i don't know,Yes,Very easy,Maybe,Yes,No,No,Yes,1
40,Male,United States of America,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
50,Female,United States of America,Always,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
36,Male,United States of America,Always,100-500,Yes,Yes,No,i don't know,i don't know,I don't know,Maybe,Maybe,Maybe,No,I don't know,1
31,Female,United States of America,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
29,Male,United States of America,Always,26-100,i don't know,i don't know,No,Yes,i don't know,Very easy,Yes,Yes,No,No,I don't know,0
37,Male,United States of America,Never,100-500,No,Yes,No,No,i don't know,Somewhat easy,Yes,Yes,Maybe,Maybe,I don't know,0
31,Male,United States of America,Sometimes,26-100,i don't know,No,i am not sure,No,Yes,Very difficult,Maybe,Maybe,Yes,Maybe,I don't know,1
42,Male,Canada,Always,More than 1000,No,i don't know,No,No,i don't know,Somewhat difficult,No,No,Yes,Maybe,No,0
25,Male,United States of America,Sometimes,500-1000,No,Yes,Yes,No,Yes,Somewhat easy,No,No,Maybe,Maybe,No,0
27,Male,United States of America,Sometimes,25-Jun,Yes,Yes,Yes,No,Yes,Very easy,Maybe,Yes,No,No,Yes,1
41,Female,United States of America,Never,More than 1000,No,Yes,Yes,No,i don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,1
41,Female,United States of America,Sometimes,100-500,No,Yes,Yes,No,i don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,0
55,Female,United States of America,Never,More than 1000,i don't know,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,1
21,Male,United States of America,Never,More than 1000,No,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,No,No,0
37,Male,Netherlands,Never,More than 1000,No,i don't know,i am not sure,Yes,i don't know,Very easy,No,Maybe,Maybe,Maybe,Yes,0
34,Female,Netherlands,Sometimes,More than 1000,No,i don't know,No,No,Yes,Very easy,Maybe,Yes,Maybe,Maybe,I don't know,0
40,Male,United Kingdom,Never,More than 1000,i don't know,Yes,Yes,No,i don't know,I don't know,No,No,Maybe,No,I don't know,0
25,Male,Netherlands,Always,nan,i don't know,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
36,Male,Germany,Sometimes,More than 1000,No,Yes,i am not sure,Yes,i don't know,Somewhat easy,No,Maybe,Maybe,No,I don't know,0
25,Male,Germany,Never,26-100,No,No,i am not sure,No,No,Somewhat easy,Yes,Maybe,Maybe,Maybe,No,0
35,Male,United States of America,Always,100-500,No,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Yes,Maybe,No,I don't know,0
37,Male,United States of America,Always,25-Jun,i don't know,No,i am not sure,No,i don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,1
45,Male,United States of America,Sometimes,More than 1000,i don't know,Yes,No,No,i don't know,Neither easy nor difficult,No,Maybe,Maybe,Maybe,No,0
26,Male,United States of America,Never,25-Jun,Yes,No,Unknown,No,No,Neither easy nor difficult,Yes,Yes,Maybe,Maybe,No,1
23,Male,United States of America,Sometimes,26-100,No,Yes,i am not sure,No,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,0
22,Female,United States of America,Sometimes,26-100,Yes,Yes,Yes,No,Yes,Somewhat difficult,No,No,Maybe,No,No,1
46,Female,United States of America,Always,26-100,Yes,i don't know,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,1
31,Male,United Kingdom,Sometimes,25-Jun,No,No,Unknown,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,0
27,Male,United States of America,Always,100-500,Yes,Yes,i am not sure,i don't know,i don't know,Very easy,Yes,Yes,No,No,Yes,1
37,Male,United Kingdom,Sometimes,25-Jun,i don't know,No,Unknown,No,i don't know,Very easy,Yes,Yes,No,No,Yes,0
37,Male,United Kingdom,Never,100-500,No,i don't know,i am not sure,No,i don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,0
26,Other,Netherlands,Sometimes,5-Jan,No,not eligible for coverage / n/a,Unknown,Yes,i don't know,Very easy,Yes,Yes,No,No,Yes,1
23,Male,Netherlands,Never,500-1000,Yes,No,No,No,Yes,Very easy,Maybe,Yes,No,No,I don't know,1
40,Male,United States of America,Never,26-100,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,Maybe,Maybe,No,Yes,1
29,Male,Denmark,Sometimes,5-Jan,No,No,No,No,No,Somewhat easy,Maybe,Yes,No,No,No,0
37,Male,United States of America,Sometimes,100-500,i don't know,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,No,Yes,1
34,Female,United States of America,Never,100-500,Yes,Yes,Yes,i don't know,Yes,Somewhat difficult,Yes,Yes,No,No,Yes,1
40,Male,United States of America,Sometimes,More than 1000,No,Yes,No,No,i don't know,Very easy,Yes,Yes,No,No,Yes,1
39,Male,United States of America,Sometimes,500-1000,No,Yes,No,No,i don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,1
28,Male,United States of America,Always,500-1000,Yes,Yes,i am not sure,i don't know,i don't know,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,1
28,Male,Belgium,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,0
27,Male,Germany,Sometimes,26-100,Yes,No,No,No,i don't know,Neither easy nor difficult,No,No,No,No,I don't know,0
48,Male,United Kingdom,Sometimes,nan,No,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
49,Female,United States of America,Sometimes,More than 1000,No,Yes,Yes,No,i don't know,Somewhat difficult,Yes,Yes,Maybe,Maybe,I don't know,1
35,Male,United Kingdom,Never,26-100,i don't know,No,i am not sure,No,i don't know,Somewhat easy,Yes,Yes,Maybe,No,No,1
35,Male,Sweden,Sometimes,100-500,Yes,i don't know,No,No,i don't know,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,1
38,Male,United Kingdom,Always,nan,Yes,Unknown,Unknown,Unknown,Unknown,nan,nan,nan,nan,nan,nan,1
32,Male,United States of America,Sometimes,500-1000,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,No,Yes,1
42,Male,United States of America,Sometimes,More than 1000,Yes,Yes,Yes,No,i don't know,Somewhat difficult,No,No,Yes,Maybe,No,1
33,Female,United States of America,Always,100-500,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,Yes,Maybe,No,Yes,1
35,Male,United Kingdom,Always,26-100,No,i don't know,Unknown,No,Yes,Very easy,Yes,Yes,No,No,I don't know,0
24,Male,Russia,Sometimes,500-1000,No,i don't know,No,No,Yes,Somewhat easy,Yes,Yes,No,No,Yes,0
29,Other,United States of America,Sometimes,500-1000,Yes,Yes,Yes,No,i don't know,Somewhat easy,Yes,Yes,No,No,No,1
29,Male,United States of America,Always,100-500,No,i don't know,i am not sure,No,i don't know,Somewhat difficult,Maybe,Yes,Maybe,No,Yes,1
24,Male,United Kingdom,Sometimes,25-Jun,No,not eligible for coverage / n/a,Unknown,No,No,Somewhat easy,Maybe,Maybe,No,No,Yes,0
30,Male,Sweden,Always,500-1000,Yes,i don't know,No,Yes,i don't know,Somewhat easy,Yes,Maybe,Maybe,No,I don't know,1
30,Male,United States of America,Always,26-100,No,i don't know,No,No,i don't know,Somewhat difficult,No,No,Maybe,No,I don't know,1
44,Male,United States of America,Always,25-Jun,Yes,No,No,No,i don't know,Somewhat difficult,No,No,Yes,No,I don't know,1
37,Male,United Kingdom,Always,100-500,No,Yes,i am not sure,No,i don't know,Somewhat easy,Maybe,Maybe,No,No,No,0
28,Male,Germany,Sometimes,500-1000,No,No,No,No,i don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,0
